collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,source_url,notes
Film & TV,Film & TV,FTV-15,Turkish dizi,Historic waterfront romance key art,1536*2688,true,true,"low quality, copied actor, fake Turkish, extra text, overprocessed skin, tourist postcard look","Create a vertical key art poster for a Turkish dizi romance set on the Bosphorus. A Turkish architect and a widowed restaurant owner stand on opposite sides of a ferry deck at golden hour, Istanbul skyline in the distance, emotional restraint, elegant wardrobe, premium serialized drama tone. Include exactly one Turkish title: Kalbin Kıyısı. No subtitles, no logos, no extra text.",,,https://grady.uga.edu/research/will-it-travel-the-local-vs-global-tug-of-war-for-telenovela-and-turkish-dizi-producers/,"Turkish dizi export-market key art and text test."
Film & TV,Film & TV,FTV-16,Nollywood family drama,Lagos ensemble family poster,1536*2688,true,true,"low quality, stereotype, copied celebrity, fake text, distorted hands, messy poster","Create a vertical poster for a contemporary Nollywood family drama in Lagos. Three generations of a Nigerian family stand in front of a modern compound during a tense reunion: grandmother in elegant gele, ambitious daughter in business attire, musician son, younger cousins. Warm natural light, rich fabrics, grounded emotion, cinematic streaming poster. Include exactly one English title: House on Allen Avenue. No other text.",,,https://www.streamingmediaglobal.com/PressRelease/FAST-TREND-REPORT-2026_57373.aspx,"Tests African family-drama poster casting and wardrobe."
Film & TV,Film & TV,FTV-17,Bollywood musical,Song sequence costume color board,2048*2048,true,true,"low quality, copied star, fake labels, messy fabric, distorted faces, extra text","Create a Bollywood musical costume color board for a rooftop festival song. Arrange six clean tiles showing the same Indian lead couple in different coordinated outfits: marigold yellow, royal blue, crimson, ivory, emerald, and silver. Dance-ready fabrics, jewelry details, monsoon city lights, production design realism, no labels, no text, no logos.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Costume variant board for musical production."
Film & TV,Film & TV,FTV-18,Thai BL drama,University romance character poster,1536*2688,true,true,"low quality, copied actor, fake Thai text, plastic skin, extra text, romance cliché overload","Create a vertical character poster for a Thai university romance drama. Two Thai male students stand under a campus rain tree, one holding a sketchbook and one carrying a guitar case, gentle emotional tension, soft Bangkok afternoon light, tasteful wardrobe, streaming romance polish. Include exactly one Thai title: ใต้เงาฝน. No other text, no logos.",,,https://www.tatlerasia.com/lifestyle/entertainment/asian-countries-tv-drama-culture,"Thai drama and Thai title rendering."
Film & TV,Film & TV,FTV-19,Indonesian horror,Rural supernatural horror still,2368*1728,true,true,"low quality, gore, cheap jump scare, fake text, distorted face, overdone AI horror","Create a realistic production still for an Indonesian supernatural horror film in a rural Javanese village. A young woman in a modest modern outfit stands at the edge of a banyan tree clearing at blue hour, oil lamp glow, distant villagers, humid atmosphere, restrained dread, practical location lighting, no monsters visible, no text, no logos.",,,https://www.cinegeist.com/,"Tests grounded horror mood without cheap AI artifacts."
Film & TV,Film & TV,FTV-20,Filipino romantic comedy,Manila rom-com streaming thumbnail,1536*2688,true,true,"low quality, copied celebrity, fake Tagalog, extra text, distorted smile, stock photo look","Create a vertical streaming thumbnail for a Filipino romantic comedy set in Manila. A Filipino bakery owner and a delivery app rider almost collide outside a colorful neighborhood bakery, flour in the air, warm comedy timing, authentic street details, bright but natural color grade. Include exactly one Tagalog title: Maling Hatid. No subtitle, no logos, no extra text.",,,https://www.tatlerasia.com/lifestyle/entertainment/asian-countries-tv-drama-culture,"Filipino rom-com and Tagalog title test."
Film & TV,Film & TV,FTV-21,Nordic noir,Detective evidence wall and cold exterior,2368*1728,true,true,"low quality, fake labels, readable notes, distorted faces, overblue color, cliché crime board","Create a two-panel production reference image for a Nordic noir limited series. Left panel: Swedish detective office with an evidence wall made of blank photos and red string but no readable notes. Right panel: lone detective walking beside a frozen harbor at dawn. Cold restrained palette, realistic winter clothing, quiet dread, no text, no logos.",,,https://senalnews.com/en/data/global-production-americas-and-emea-lean-towards-prestige-ip-and-factual/amp,"Nordic crime mood and production reference."
Film & TV,Film & TV,FTV-22,French auteur drama,Paris apartment natural-light scene,2368*1728,true,true,"low quality, fake French signs, fashion ad look, distorted faces, overposed acting, extra text","Create a realistic French auteur drama production still in a small Paris apartment kitchen at 7 AM. A Senegalese-French mother and her teenage daughter sit silently after an argument, coffee cups untouched, soft window light, cramped lived-in details, natural acting, 35mm film texture, restrained color, no readable text or logos.",,,https://www.cinegeist.com/,"French social drama realism and casting diversity."
Film & TV,Film & TV,FTV-23,German sci-fi,Near-future transit VFX concept plate,2368*1728,true,true,"low quality, fake signs, messy vehicles, cyberpunk cliché, unreadable text, distorted perspective","Create a VFX concept plate for a German near-future sci-fi series. A sleek autonomous tram glides through a rainy Berlin street with subtle holographic wayfinding made of abstract blank shapes, cyclists and commuters, realistic architecture, grounded technology, overcast light, production-ready matte-painting realism. No readable text, no logos.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"VFX plate and grounded sci-fi city design."
Film & TV,Film & TV,FTV-24,Spanish heist thriller,Mask and costume prop sheet,2048*2048,true,true,"low quality, copied famous heist mask, fake labels, text, inconsistent props, messy background","Create a prop and costume sheet for an original Spanish heist thriller, not based on any existing series. Isolated on clean white background: four distinct anonymous masks, red utility jacket, black gloves, encrypted radio, duffel bag, glass cutter, metro map with blank lines. Realistic materials, production-ready spacing, no labels, no text, no logos.",,,https://time.com/6075019/the-house-of-flowers-telenovela/,"Heist prop sheet without copying known IP."
